,Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
225,Wallis & Futuna,11203,11010,140,,,,193,1.7529518619436875,Low
150,Latvia,1882408,1861863,62200,-14837.0,,44.0,20545,1.1034646480433845,Low
60,Romania,19214608,19087742,230170,-73999.0,,43.0,126866,0.6646464521576203,Low
129,Croatia,4100719,4075682,55960,-8001.0,,44.0,25037,0.6143020971704858,Low
86,Greece,10413936,10363535,128900,-16000.0,,46.0,50401,0.4863301952470851,Low
108,Lebanon,6819976,6789708,10230,-30012.0,,30.0,30268,0.4457923669176937,High
205,Bermuda,62237,62009,50,,,,228,0.3676885613378703,High
88,Portugal,10191409,10161931,91590,-6000.0,,46.0,29478,0.29008266243886127,Low
93,Hungary,9655983,9631655,90530,6000.0,,43.0,24328,0.25258379790389085,Low
209,American Samoa,55169,55048,200,,,,121,0.2198081674175265,Low
198,U.S. Virgin Islands,104398,104245,350,-451.0,,43.0,153,0.14676962923881243,Low
37,Poland,37839255,37798098,306230,-29395.0,,42.0,41157,0.1088864312696369,Low
178,Martinique,375213,374924,1060,-960.0,,47.0,289,0.07708228867717191,Low
95,Belarus,9448772,9445684,202910,8730.0,,40.0,3088,0.03269217983578532,Low
147,North Macedonia,2083359,2083274,25220,-1000.0,,39.0,85,0.004080116201709424,Low
148,Slovenia,2078989,2079273,20140,2000.0,,45.0,-284,-0.013658620104238357,Low
29,Spain,46757980,46775982,498800,40000.0,,45.0,-18002,-0.03848556295408186,Low
117,Slovakia,5460109,5462738,48088,1485.0,,41.0,-2629,-0.04812604961101924,Low
154,Estonia,1326693,1327580,42390,3911.0,,42.0,-887,-0.06681329938685428,Low
222,Cook Islands,17567,17583,240,,,,-16,-0.09099698572484786,Low
115,Finland,5542237,5550801,303890,14000.0,,43.0,-8564,-0.1542840393665707,Low
156,Mauritius,1272140,1274240,2030,0.0,,37.0,-2100,-0.1648041185334003,High
56,Taiwan,23824369,23867268,35410,30001.0,,42.0,-42899,-0.17973988476603187,High
136,Armenia,2964219,2969731,28470,-4998.0,,35.0,-5512,-0.18560603637164444,Low
